   	      	                         fitness1                        	                    fitness2                   	                   size_tree                   
   	      	---------------------------------------------------------	-----------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min    	nevals	std      	avg    	gen	max  	min  	nevals	std    	avg   	gen	max	min	nevals	std    
0  	200   	0.69256 	0  	0.7919 	0.33379	200   	0.118019 	28.5981	0  	58.77	11.3 	200   	12.8493	11.625	0  	60 	3  	200   	10.5202
1  	200   	0.746601	1  	0.80007	0.33405	200   	0.0819559	25.0378	1  	57.59	11.23	200   	11.3282	8.785 	1  	48 	2  	200   	7.62816
2  	200   	0.756331	2  	0.80062	0.50329	200   	0.0675603	25.0639	2  	57.98	11.23	200   	12.3974	9.585 	2  	75 	2  	200   	9.87789
3  	200   	0.771216	3  	0.80062	0.50329	200   	0.054241 	27.5097	3  	60.67	11.21	200   	13.6269	13.5  	3  	121	2  	200   	16.7753
4  	200   	0.7749  	4  	0.80064	0.50329	200   	0.051717 	28.1889	4  	57.48	11.21	200   	13.3262	16.875	4  	110	2  	200   	20.0626
5  	200   	0.775721	5  	0.80074	0.50329	200   	0.051845 	27.1043	5  	56.55	11.21	200   	12.3379	16.97 	5  	80 	2  	200   	18.3975
6  	200   	0.777948	6  	0.80074	0.50329	200   	0.0511822	27.8049	6  	56.55	11.21	200   	12.7182	19.69 	6  	83 	2  	200   	20.681 
7  	200   	0.782822	7  	0.80074	0.50329	200   	0.0425129	29.22  	7  	57.45	11.21	200   	13.1939	22.78 	7  	89 	2  	200   	22.4734
8  	200   	0.784862	8  	0.80074	0.50329	200   	0.0382803	29.5061	8  	56.55	11.21	200   	12.8386	23.43 	8  	82 	2  	200   	21.9947
9  	200   	0.784903	9  	0.80074	0.50329	200   	0.0382938	29.4161	9  	56.55	11.21	200   	12.7324	23.495	9  	82 	2  	200   	21.9333
10 	200   	0.784966	10 	0.80074	0.50329	200   	0.0383115	29.4097	10 	56.55	11.21	200   	12.5366	23.23 	10 	82 	2  	200   	21.0772
11 	200   	0.784937	11 	0.80074	0.50329	200   	0.0383046	29.1201	11 	56.55	11.21	200   	12.4245	23.02 	11 	82 	2  	200   	20.7877
12 	200   	0.784061	12 	0.80074	0.50329	200   	0.0388893	28.6093	12 	56.55	11.2 	200   	12.4665	21.93 	12 	82 	2  	200   	20.2597
13 	200   	0.784284	13 	0.80074	0.50329	200   	0.0389488	28.6846	13 	56.55	11.2 	200   	12.6118	22.565	13 	82 	2  	200   	20.5399
14 	200   	0.784247	14 	0.80074	0.50329	200   	0.0389409	28.5949	14 	56.55	11.2 	200   	12.6602	22.37 	14 	82 	2  	200   	20.1971
15 	200   	0.783957	15 	0.80074	0.50329	200   	0.0391075	28.3148	15 	56.55	11.2 	200   	12.7509	22.215	15 	82 	2  	200   	20.6753
16 	200   	0.785162	16 	0.80074	0.50329	200   	0.0384561	28.9187	16 	56.55	11.2 	200   	12.8048	23.055	16 	82 	2  	200   	20.9805
17 	200   	0.785614	17 	0.80074	0.50329	200   	0.0379833	28.4829	17 	56.55	11.2 	200   	12.2392	23.135	17 	82 	2  	200   	20.7214
18 	200   	0.783795	18 	0.80077	0.50329	200   	0.0419294	27.9   	18 	52.79	11.2 	200   	11.9847	22.34 	18 	80 	2  	200   	20.3891
19 	200   	0.783696	19 	0.80085	0.50329	200   	0.0419003	27.3952	19 	52.79	11.2 	200   	11.6402	21.595	19 	83 	2  	200   	19.5847
20 	200   	0.784378	20 	0.80085	0.53683	200   	0.0373166	26.9322	20 	52.79	11.2 	200   	11.4618	20.815	20 	83 	2  	200   	18.8454
21 	200   	0.784433	21 	0.80085	0.53683	200   	0.0373324	27.0407	21 	52.79	11.2 	200   	11.4383	20.74 	21 	83 	2  	200   	18.7449
22 	200   	0.785954	22 	0.80085	0.53683	200   	0.0331114	26.9632	22 	47.23	11.2 	200   	11.2287	21.065	22 	98 	2  	200   	19.4844
23 	200   	0.785944	23 	0.80085	0.53683	200   	0.0331075	26.9263	23 	47.23	11.2 	200   	11.1979	20.91 	23 	98 	2  	200   	19.3854
24 	200   	0.785998	24 	0.80085	0.53683	200   	0.033122 	26.9346	24 	45.73	11.2 	200   	11.1448	20.78 	24 	83 	2  	200   	18.7646
25 	200   	0.785985	25 	0.80085	0.53683	200   	0.0331198	26.8136	25 	45.73	11.2 	200   	11.1732	20.955	25 	83 	2  	200   	19.1024
26 	200   	0.786611	26 	0.80085	0.53683	200   	0.0327641	27.0267	26 	45.73	11.2 	200   	11.0873	21.26 	26 	83 	2  	200   	18.9122
27 	200   	0.786564	27 	0.80085	0.53683	200   	0.0327475	26.6397	27 	43.32	11.2 	200   	10.8182	21.14 	27 	59 	2  	200   	18.9106
28 	200   	0.786584	28 	0.80085	0.53683	200   	0.0327511	26.4634	28 	43.32	11.2 	200   	10.5904	21.31 	28 	59 	2  	200   	19.039 
29 	200   	0.786606	29 	0.80085	0.53683	200   	0.0327577	26.4453	29 	43.32	11.2 	200   	10.549 	21.52 	29 	59 	2  	200   	19.1183
30 	200   	0.786684	30 	0.80085	0.53683	200   	0.0327822	26.5209	30 	43.32	11.2 	200   	10.61  	21.665	30 	59 	2  	200   	18.8505
31 	200   	0.786697	31 	0.80085	0.53683	200   	0.0327861	26.4779	31 	43.32	11.2 	200   	10.6672	21.29 	31 	59 	2  	200   	18.423 
32 	200   	0.786666	32 	0.80089	0.53683	200   	0.0327778	26.2972	32 	42.31	11.2 	200   	10.5757	21.14 	32 	60 	2  	200   	18.2519
33 	200   	0.786662	33 	0.80089	0.53683	200   	0.0327741	26.2024	33 	42.31	11.2 	200   	10.5084	20.85 	33 	60 	2  	200   	17.9933
34 	200   	0.787086	34 	0.80093	0.53683	200   	0.0325194	26.4387	34 	42.31	11.2 	200   	10.5236	21.235	34 	60 	2  	200   	17.6485
35 	200   	0.786892	35 	0.80093	0.53683	200   	0.0324577	25.596 	35 	42.11	11.2 	200   	10.0493	19.795	35 	60 	2  	200   	16.4582
36 	200   	0.786954	36 	0.80093	0.53683	200   	0.0324795	25.7839	36 	41.41	11.2 	200   	10.184 	20.02 	36 	60 	2  	200   	16.4863
37 	200   	0.786949	37 	0.80096	0.53683	200   	0.032475 	25.8043	37 	41.41	11.2 	200   	10.1884	19.05 	37 	60 	2  	200   	15.7816
38 	200   	0.786972	38 	0.80096	0.53683	200   	0.0324811	25.7088	38 	41.41	11.2 	200   	10.0871	18.975	38 	60 	2  	200   	15.7205
39 	200   	0.786949	39 	0.80096	0.53683	200   	0.0324756	25.7947	39 	41.41	11.2 	200   	10.2086	18.51 	39 	60 	2  	200   	15.3056
40 	200   	0.786982	40 	0.80096	0.53683	200   	0.0324871	25.8272	40 	41.41	11.2 	200   	10.2218	18.78 	40 	60 	2  	200   	15.4913
41 	200   	0.78762 	41 	0.80096	0.53683	200   	0.0319738	25.8888	41 	41.41	11.2 	200   	10.2419	18.78 	41 	60 	2  	200   	15.4185
42 	200   	0.787634	42 	0.80096	0.53683	200   	0.031981 	25.9516	42 	41.41	11.2 	200   	10.3884	18.305	42 	50 	2  	200   	14.6062
43 	200   	0.78762 	43 	0.80096	0.53683	200   	0.031977 	25.8263	43 	41.41	11.2 	200   	10.305 	18.205	43 	50 	2  	200   	14.635 
44 	200   	0.787249	44 	0.80096	0.53683	200   	0.0321868	25.6913	44 	41.41	11.2 	200   	10.3505	17.74 	44 	50 	2  	200   	14.5025
45 	200   	0.7877  	45 	0.80096	0.53683	200   	0.0320351	25.912 	45 	41.41	11.2 	200   	10.2186	18.45 	45 	50 	2  	200   	14.7722
46 	200   	0.787703	46 	0.80096	0.53683	200   	0.0320364	25.9059	46 	41.41	11.2 	200   	10.2242	18.5  	46 	50 	2  	200   	14.8966
47 	200   	0.787764	47 	0.80096	0.53683	200   	0.032052 	26.0691	47 	41.41	11.2 	200   	10.2345	18.755	47 	50 	2  	200   	15.0524
48 	200   	0.787753	48 	0.80096	0.53683	200   	0.0320479	25.9814	48 	41.41	11.2 	200   	10.1667	18.485	48 	50 	2  	200   	14.7326
49 	200   	0.787745	49 	0.80096	0.53683	200   	0.0320452	25.9197	49 	41.41	11.2 	200   	10.1259	18.47 	49 	50 	2  	200   	14.759 
50 	200   	0.787755	50 	0.80096	0.53683	200   	0.0320517	25.9548	50 	41.41	11.2 	200   	10.2158	18.715	50 	50 	2  	200   	14.9457
51 	200   	0.787728	51 	0.80096	0.53683	200   	0.0320436	25.8761	51 	41.41	11.2 	200   	10.1821	18.59 	51 	50 	2  	200   	14.966 
52 	200   	0.78771 	52 	0.80096	0.53683	200   	0.0320375	25.7902	52 	41.41	11.2 	200   	10.1202	18.445	52 	50 	2  	200   	14.7938
53 	200   	0.787699	53 	0.80096	0.53683	200   	0.0320362	25.7137	53 	43.61	11.2 	200   	10.136 	18.615	53 	72 	2  	200   	15.1554
54 	200   	0.78769 	54 	0.80096	0.53683	200   	0.0320344	25.7086	54 	43.61	11.2 	200   	10.1308	18.67 	54 	72 	2  	200   	15.2368
55 	200   	0.788364	55 	0.80096	0.53683	200   	0.0314707	25.5763	55 	43.61	11.2 	200   	9.85922	18.995	55 	72 	2  	200   	15.2576
56 	200   	0.788383	56 	0.80096	0.53683	200   	0.0314726	25.4717	56 	43.61	11.2 	200   	9.76891	19.05 	56 	72 	2  	200   	15.3117
57 	200   	0.788406	57 	0.80096	0.53683	200   	0.0314755	25.325 	57 	43.61	11.2 	200   	9.63627	19.07 	57 	72 	2  	200   	15.2887
58 	200   	0.788379	58 	0.80096	0.53683	200   	0.0314709	25.3034	58 	43.61	11.2 	200   	9.64632	19.12 	58 	72 	2  	200   	15.3393
59 	200   	0.788492	59 	0.80096	0.53683	200   	0.0315018	25.5683	59 	43.61	11.2 	200   	9.86473	19.795	59 	72 	2  	200   	15.9578
60 	200   	0.788445	60 	0.80096	0.53683	200   	0.0314899	25.3824	60 	43.61	11.2 	200   	9.8015 	19.59 	60 	72 	2  	200   	15.9581
61 	200   	0.788359	61 	0.80096	0.53683	200   	0.0314675	25.1515	61 	43.61	11.2 	200   	9.75134	19.26 	61 	72 	2  	200   	16.2158
62 	200   	0.788442	62 	0.80096	0.53683	200   	0.0314851	25.1597	62 	43.61	11.2 	200   	9.59044	19.4  	62 	72 	2  	200   	15.8044
63 	200   	0.788451	63 	0.80096	0.53683	200   	0.0314893	25.2699	63 	43.01	11.2 	200   	9.70215	19.565	63 	66 	2  	200   	15.8813
64 	200   	0.788425	64 	0.80096	0.53683	200   	0.0314811	25.1388	64 	43.01	11.2 	200   	9.59499	19.405	64 	66 	2  	200   	15.9402
65 	200   	0.788424	65 	0.80096	0.53683	200   	0.0314806	25.0853	65 	43.01	11.2 	200   	9.54952	19.42 	65 	66 	2  	200   	15.987 
66 	200   	0.78922 	66 	0.80096	0.56907	200   	0.026698 	24.9339	66 	43.01	11.2 	200   	9.41206	19.115	66 	66 	2  	200   	15.7239
67 	200   	0.788713	67 	0.80096	0.56907	200   	0.0274073	24.814 	67 	43.01	11.2 	200   	9.44787	18.795	67 	66 	2  	200   	15.7042
68 	200   	0.788709	68 	0.80096	0.56907	200   	0.0274057	24.8039	68 	43.01	11.2 	200   	9.44373	18.695	68 	66 	2  	200   	15.6161
69 	200   	0.788716	69 	0.80096	0.56907	200   	0.0274119	24.8243	69 	43.01	11.2 	200   	9.54181	18.845	69 	66 	2  	200   	15.756 
70 	200   	0.788681	70 	0.80096	0.56907	200   	0.0274006	24.7365	70 	43.01	11.2 	200   	9.47916	18.625	70 	66 	2  	200   	15.7161
71 	200   	0.788675	71 	0.80096	0.56907	200   	0.027401 	24.7854	71 	43.01	11.2 	200   	9.55019	18.725	71 	66 	2  	200   	15.9198
72 	200   	0.788246	72 	0.80096	0.56907	200   	0.0278929	24.7083	72 	43.01	11.2 	200   	9.70578	18.625	72 	66 	2  	200   	15.9961
73 	200   	0.787952	73 	0.80096	0.56907	200   	0.0281812	24.6719	73 	43.01	11.2 	200   	9.62676	18.315	73 	66 	2  	200   	15.9225
74 	200   	0.787996	74 	0.80096	0.56907	200   	0.0281972	24.8221	74 	43.01	11.2 	200   	9.76048	18.66 	74 	66 	2  	200   	16.1197
75 	200   	0.787974	75 	0.80108	0.56907	200   	0.0281882	24.6231	75 	43.01	11.2 	200   	9.54726	18.32 	75 	66 	2  	200   	15.5877
76 	200   	0.787932	76 	0.80108	0.56907	200   	0.0281761	24.4869	76 	43.01	11.2 	200   	9.51818	18.17 	76 	66 	2  	200   	15.5419
77 	200   	0.78785 	77 	0.80108	0.56907	200   	0.0281499	24.2845	77 	43.01	11.2 	200   	9.43491	17.575	77 	66 	2  	200   	15.0344
78 	200   	0.787863	78 	0.80108	0.56907	200   	0.0281552	24.3449	78 	42.63	11.2 	200   	9.49022	17.63 	78 	52 	2  	200   	14.9413
79 	200   	0.787882	79 	0.80108	0.56907	200   	0.0281597	24.2937	79 	42.63	11.2 	200   	9.42648	17.615	79 	56 	2  	200   	14.8683
80 	200   	0.78791 	80 	0.80108	0.56907	200   	0.0279991	24.1706	80 	42.01	11.2 	200   	9.24546	17.305	80 	56 	2  	200   	14.6871
81 	200   	0.788779	81 	0.80108	0.56907	200   	0.0269722	24.4467	81 	42.01	11.2 	200   	9.29589	17.7  	81 	56 	2  	200   	14.8132
82 	200   	0.788806	82 	0.80108	0.56907	200   	0.026979 	24.4706	82 	42.01	11.2 	200   	9.29779	17.83 	82 	56 	2  	200   	14.8307
83 	200   	0.788787	83 	0.8011 	0.56907	200   	0.0269751	24.6089	83 	54.7 	11.2 	200   	9.57988	17.66 	83 	60 	2  	200   	14.9079
84 	200   	0.788778	84 	0.80117	0.56907	200   	0.0269716	24.6659	84 	54.7 	11.2 	200   	9.85365	17.715	84 	60 	2  	200   	15.2159
85 	200   	0.789242	85 	0.80117	0.56907	200   	0.0267006	25.2331	85 	54.7 	11.2 	200   	10.2708	18.63 	85 	60 	2  	200   	15.9682
86 	200   	0.790912	86 	0.80121	0.69436	200   	0.0206574	25.5516	86 	54.7 	11.2 	200   	10.4732	19.11 	86 	60 	2  	200   	16.2711
87 	200   	0.790947	87 	0.80131	0.69436	200   	0.0206716	25.8214	87 	54.7 	11.2 	200   	10.8335	19.37 	87 	60 	2  	200   	16.5699
88 	200   	0.790945	88 	0.80132	0.69436	200   	0.020671 	25.8283	88 	54.7 	11.2 	200   	10.9174	19.375	88 	60 	2  	200   	16.5754
89 	200   	0.791045	89 	0.80132	0.69436	200   	0.0207038	26.1453	89 	54.7 	11.2 	200   	11.0389	19.955	89 	60 	2  	200   	16.9016
90 	200   	0.79077 	90 	0.80132	0.69436	200   	0.0210745	26.1205	90 	54.7 	11.2 	200   	11.1694	19.98 	90 	60 	2  	200   	17.0153
91 	200   	0.7911  	91 	0.80132	0.69436	200   	0.0207221	26.3943	91 	54.7 	11.2 	200   	11.4256	20.275	91 	60 	2  	200   	17.2313
92 	200   	0.79112 	92 	0.80132	0.69436	200   	0.0207304	26.5328	92 	54.7 	11.2 	200   	11.5861	20.5  	92 	61 	2  	200   	17.4663
93 	200   	0.791134	93 	0.80132	0.69436	200   	0.0207382	26.5663	93 	54.7 	11.2 	200   	11.7604	20.615	93 	61 	2  	200   	17.5595
94 	200   	0.79123 	94 	0.80132	0.69436	200   	0.0207541	26.8447	94 	54.7 	11.2 	200   	11.9155	21.09 	94 	61 	2  	200   	17.8637
95 	200   	0.791188	95 	0.80132	0.69436	200   	0.0207428	26.575 	95 	54.7 	11.2 	200   	11.6563	20.885	95 	61 	2  	200   	17.7612
96 	200   	0.791152	96 	0.80132	0.69436	200   	0.0207317	26.5408	96 	54.7 	11.2 	200   	11.7169	20.595	96 	61 	2  	200   	17.6706
97 	200   	0.790726	97 	0.80132	0.69436	200   	0.021384 	26.2528	97 	54.7 	11.2 	200   	11.4607	20.255	97 	61 	2  	200   	17.3084
98 	200   	0.790727	98 	0.80132	0.69436	200   	0.0213842	26.2426	98 	54.7 	11.2 	200   	11.4361	20.21 	98 	60 	2  	200   	17.2138
99 	200   	0.791151	99 	0.80132	0.69436	200   	0.0207332	26.4898	99 	54.7 	11.2 	200   	11.5641	20.53 	99 	60 	2  	200   	17.3361
100	200   	0.791159	100	0.80132	0.69436	200   	0.0207371	26.5485	100	54.7 	11.2 	200   	11.5967	20.57 	100	60 	2  	200   	17.3751
